Volume,Floor-AbsArea,Wall-AbsArea,Ceiling-AbsArea,Measured-Tmf
178.11,9,14.67,20.43,0.63
179.32,9.1,12.53,22.92,0.7
181.19,9.15,12.72,20.47,0.74
180.65,9.17,14.5,22.98,0.72
180.65,9.17,15.15,22.98,0.79
180.65,9.17,15.15,22.98,0.73
180.65,9.17,15.15,22.98,0.7
180.65,9.17,15.15,22.98,0.71
181.33,9.17,14.73,22.3,0.73
179.45,9.17,14.48,24.17,0.69
178.05,9.17,14.37,25.58,0.68
181.56,9.17,11.71,20.45,0.79
181.56,9.17,15.35,23.69,0.67
181.56,9.17,16.98,22.07,0.68
181.56,9.17,14.63,22.07,0.69
182.57,9.22,12.44,20.48,0.73
182.57,9.22,12.74,22.1,0.69
181.27,9.22,13.99,23.4,0.73
182.91,9.23,12.55,20.48,0.71
200.45,10.28,13.06,26.4,0.62
203.31,10.32,7.06,21,0.8
207.99,10.5,15.21,23.37,0.67
208.93,10.5,15.9,24.05,0.69
199.76,10.5,14.28,31.6,0.6
208.93,10.5,14.92,24.05,0.64
209.16,10.5,15.66,23.82,0.63
274.74,3.03,16.82,27.81,0.79
275.15,3.03,18.31,32.6,0.84
275.2,3.03,14.26,30.93,0.85
275.95,3.04,20.41,29.93,0.8
277.22,3.04,22.66,29.95,0.7
277.22,3.04,17.88,29.95,0.79
265.06,3.04,23.52,37.26,0.7
276.76,3.04,20.55,30.42,0.81
273.48,3.04,17.94,33.69,0.83
276.58,3.05,12.72,30.97,0.82
316.22,3.52,25.01,37.64,0.76
299.92,3.31,21.41,35.42,0.89
277.28,3.05,22.46,30.66,0.8
324.58,3.55,22.33,34.12,0.71
182.05,9.2,12.63,20.68,0.74
179.7,9.09,11.72,22.29,0.71
278.12,3.05,21.82,31.43,0.85
206.89,2.29,11.58,27.87,0.59
182.12,9.21,12.13,38.5,0.72
181.88,9.19,12.12,20.68,0.61
181.25,9.19,12.59,21.24,0.75
183.57,9.28,16.07,22.31,0.52
212.87,2.26,7.23,38.94,0.6
