V-over-A,Measured-Tmf
4.0387755102,0.63
4.0251402918,0.7
4.2794048181,0.74
3.872454448,0.72
3.8192389006,0.79
3.8192389006,0.73
3.8192389006,0.7
3.8192389006,0.71
3.9248917749,0.73
3.7526139691,0.69
3.6247964169,0.68
4.3929349141,0.79
3.7660236465,0.67
3.7652426379,0.68
3.9581425768,0.69
4.3324632178,0.73
4.1436677258,0.69
3.8890795967,0.73
4.3282063417,0.71
4.02995577,0.62
5.2972902553,0.8
4.2377750611,0.67
4.1413280476,0.69
3.5431003902,0.6
4.2233676976,0.64
4.1848739496,0.63
5.7645824591,0.79
5.1010381906,0.84
5.7071754459,0.85
5.1695391532,0.8
4.9814914645,0.7
5.449577354,0.79
4.1532434973,0.7
5.1242362525,0.81
5.0023779038,0.83
5.9174154899,0.82
4.7789028261,0.76
4.9870302627,0.89
4.9364429411,0.8
5.4096666667,0.71
4.2825217596,0.74
4.1693735499,0.71
4.939964476,0.85
4.9566363201,0.59
3.0434491979,0.72
4.3315075018,0.61
4.2131566713,0.75
3.8516575745,0.52
4.3954160644,0.6
